country_id_alp3,country_name,hdp,hdp_na_obyvatele,hdp_mezirocni_rust_procentualne,inflace_index_spotrebitelskych_cen_mezirocne,statni_dluh_centralni_vlady_procento_hdp,zadluzeni_soukromeho_sektoru_procento_hdp,pristup_k_elektrine_procento_obyvatel
afg,Afghánistán,20136000000,611,-2.4,5.6,7.3974947,2.5691634,97.7
alb,Albánie,14828000000,5153,-3.3,1.6,76.121176,41.745703,100
dza,Alžírsko,147600000000,3337,-4.9,2.4,55.605064,28.081245,99.5
arg,Argentina,389064000000,8572,-9.9,42,102.7897,24.470814,100
aus,Austrálie,1359372000000,52905,-2.4,0.9,44.098885,195.74214,100
aut,Rakousko,432524000000,48593,-6.2,1.4,62.79266,151.33994,100
aze,Ázerbájdžán,42607000000,4232,-4.3,2.8,21.370192,40.249739,100
bgd,Bangladéš,323057000000,1962,3.5,5.6,38.90849,44.504749,92.2
bel,Belgie,514920000000,44688,-6.3,0.4,95.344178,233.14331,100
ben,Benin,15674000000,1291,3.8,3,46.142077,15.483432,40.3187408447266
btn,Bhútán,2503000000,3359,-0.8,4.2,120.74349,68.938669,100
bwa,Botswana,15064000000,6420,-8.5,1.9,20.078094,41.55883,70.1831817626953
bra,Brazílie,1444718000000,6823,-4.1,3.2,92.91657,90.816138,99.8
bgr,Bulharsko,69209000000,10006,-4.2,1.2,30.467919,104.39342,100
bfa,Burkina Faso,17378000000,831,1.9,1.9,46.541037,29.228694,18.3791522979736
bdi,Burundi,3040000000,256,-1,7.3,66.991178,22.946376,11.0647974014282
cpv,Kapverdy,1707000000,3065,-14.8,0.6,158.11658,72.127887,95.5335388183594
can,Kanada,1644037000000,43295,-5.3,0.7,59.278472,244.47344,100
chl,Chile,252821000000,12993,-5.8,3,32.538756,164.18806,100
col,Kolumbie,271554000000,5391,-6.8,2.5,51.695146,66.725384,99.7662734985352
com,Komory,1216000000,1355,-0.5,0.8,22.303569,14.086993,84.0482406616211
cri,Kostarika,61833000000,12057,-4.1,0.7,67.523748,67.557961,99.71
hrv,Chorvatsko,56171000000,13896,-8,0.1,86.819491,133.71448,100
cyp,Kypr,23785000000,26785,-5.1,-1.1,162.06317,270.76202,100
cze,Česko,245349000000,22943,-5.8,3.2,39.094423,89.949414,100
civ,Pobřeží slonoviny,61231000000,2271,2,2.4,47.74335,21.142159,68.5501098632813
dnk,Dánsko,356085000000,61154,-2.1,0.3,34.633049,247.77874,100
dji,Džibutsko,3440000000,3482,1,1.8,40.879317,19.3354,61.275936126709
dma,Dominika,544000000,7416,-11,-0.7,111.31797,49.337832,100
dom,Dominikánská republika,78923000000,7554,-6.7,3.8,55.926289,34.325926,100
slv,El Salvador,24639000000,3799,-7.9,-0.4,63.177186,65.23576,100
est,Estonsko,30626000000,23036,-3,-0.6,18.292483,123.05978,100
fin,Finsko,269557000000,48786,-2.9,0.4,57.527902,193.08475,100
fra,Francie,2624416000000,40299,-8,0.5,93.440331,237.38842,100
gmb,Gambie,1862000000,770,-0.2,5.9,83.487132,7.3703411,59.9212875366211
deu,Německo,3843335000000,46216,-4.6,0.4,44.934968,130.54995,100
gha,Ghana,68498000000,2226,0.4,9.9,78.924395,10.481826,83.5
grc,Řecko,189259000000,17657,-8.2,-1.3,225.53563,125.11548,100
grd,Grenada,1027000000,9130,-13.1,-0.7,71.295273,60.24806,95.4287414550781
gtm,Guatemala,77603000000,4317,-1.5,3.2,31.571464,41.879888,95.7245712280273
gin,Guinea,15388000000,1102,7.1,10.6,43.779521,8.0543159,42.4183883666992
gnb,Guinea-Bissau,1434000000,790,-1.4,1.5,79.296386,15.663285,31.040412902832
guy,Guyana,5471000000,6953,43.5,0.7,51.373725,26.918336,92.0216903686523
hti,Haiti,14508000000,1235,-3.3,22.9,21.347235,8.159547,45.3713455200195
hnd,Honduras,23828000000,2397,-9,3.5,58.909654,67.035549,92.7795257568359
hun,Maďarsko,155013000000,15866,-5,3.3,79.618205,88.874672,100
isl,Island,21718000000,59643,-6.5,2.9,74.461655,224.5786,100
ind,Indie,2660244000000,1930,-7.3,6.2,55.335283,93.039615,97.8152847290039
idn,Indonésie,1059638000000,3922,-2.1,2,39.357912,42.687071,98.85
irl,Irsko,425549000000,85205,5.9,-0.5,65.213912,221.22032,100
isr,Izrael,407101000000,44181,-2.2,-0.6,70.205208,114.79564,100
ita,Itálie,1884935000000,31604,-8.9,-0.1,151.33884,122.103,100
jam,Jamajka,13967000000,5103,-10,5.2,107.36704,92.050567,99.3837738037109
jpn,Japonsko,5045101000000,40089,-4.6,0,221.06767,180.82619,100
kaz,Kazachstán,171240000000,9071,-2.6,6.8,23.55684,39.937583,100
ken,Keňa,102427000000,2104,-0.3,5.2,67.572272,31.264652,69.7
kor,Jižní Korea,1638258000000,31638,-0.9,0.5,42.37638,213.9439,100
kgz,Kyrgyzstán,7747000000,1189,-8.6,6.3,68.040579,27.976142,99.8817520141602
lva,Lotyšsko,33478000000,17549,-3.6,0.1,42.471993,76.81188,100
lso,Lesotho,1999000000,970,-5.4,5,50.376188,22.341353,44.6406784057617
ltu,Litva,55843000000,19981,-0.9,1.1,46.171344,63.480667,100
lux,Lucembursko,73205000000,116921,-1.3,0,19.646259,412.56879,100
mdg,Madagaskar,13179000000,462,-6.1,4.2,46.015516,16.173616,26.9071846008301
mys,Malajsie,337008000000,10231,-5.6,-1.1,61.716286,155.98537,100
mdv,Maledivy,3738000000,9889,-32,-1.6,146.04735,46.929793,100
mli,Mali,17491000000,890,-1.6,0.5,47.428877,25.894777,48.0212478637695
mlt,Malta,14899000000,28955,-8.3,0.8,51.821315,232.05568,100
mex,Mexiko,1073915000000,8404,-8.3,3.4,42.048401,44.790185,100
mda,Moldavsko,11912000000,4523,-7,4.4,32.866523,22.294856,100
mng,Mongolsko,13137000000,3916,-5.3,3.7,70.316616,77.369858,99.1252670288086
mar,Maroko,114602000000,3188,-6.3,0.6,75.372572,75.89341,99.6
moz,Mosambik,14029000000,449,-1.2,3.1,128.45134,23.654118,29.6161613464355
mmr,Myanmar,81257000000,1527,3.2,5.7,39.30095,26.706328,68.3566513061523
npl,Nepál,33983000000,1178,-2.1,6.1,42.159051,87.52351,89.9
nzl,Nový Zéland,209384000000,41165,-2.1,1.7,43.639587,174.55715,100
nic,Nikaragua,12620000000,1943,-2,3.7,47.918968,27.862237,88.2126693725586
ner,Niger,13761000000,568,3.6,2.9,44.969616,11.481962,18.7747249603271
nga,Nigérie,429423000000,2083,-1.8,13.2,31.544579,10.947619,55.4
mkd,Severní Makedonie,12288000000,5939,-4.5,1.2,51.085361,99.11491,100
nor,Norsko,362522000000,67326,-0.8,1.3,18.689683,269.39987,100
pak,Pákistán,261726000000,1255,-0.5,10.7,87.563061,27.390216,73.9143600463867
png,Papua Nová Guinea,23279000000,2651,-3.9,4.9,48.874595,15.523203,63.4645118713379
pry,Paraguay,35670000000,4918,-0.6,1.8,21.879088,51.862007,100
pol,Polsko,595916000000,15699,-2.7,3.4,47.226619,80.46267,100
prt,Portugalsko,228356000000,22149,-8.4,-0.1,139.06009,173.7459,100
qat,Katar,145450000000,54185,-3.6,-2.7,72.09518,156.33933,100
rou,Rumunsko,248716000000,12868,-3.9,2.6,47.666209,27.920166,100
rus,Rusko,1478571000000,10115,-3,3.4,18.61495,116.2549,100
rwa,Rwanda,10332000000,816,-3.4,7.7,60.113493,24.428767,37.7824363708496
lca,Svatá Lucie,1617000000,8935,-20.4,-1.8,93.483183,72.812656,99.5477752685547
vct,Svatý Vincenc a Grenadiny,807000000,7304,-3.3,-0.6,78.232073,50.877588,100
wsm,Samoa,812000000,4090,-2.7,1.5,46.496992,52.735533,99.2
sen,Senegal,24681000000,1474,1.5,2.5,68.68114,29.126054,70.4
srb,Srbsko,52960000000,7646,-1,1.6,57.394729,55.095524,99.8
sle,Sierra Leone,4202000000,527,-2.2,13.4,73.734855,5.6816217,22.7
sgp,Singapur,339981000000,59795,-5.4,-0.2,155.40532,174.95555,100
svk,Slovensko,104491000000,19145,-4.8,2,65.613325,100.26487,100
svn,Slovinsko,53547000000,25549,-4.2,-0.1,73.146887,75.67245,100
slb,Šalomounovy ostrovy,1562000000,2281,-4.3,3,13.98752,20.547315,70.2584915161133
zaf,Jihoafrická republika,335344000000,5625,-6.4,3.3,69.447489,66.676543,85
ssd,Jižní Súdán,4440000000,322,-6.6,24,35.810175,2.0463416,6.72053527832031
esp,Španělsko,1280459000000,27179,-10.8,-0.3,107.5485,170.15896,100
sdn,Súdán,34396000000,776,-3.6,163.3,272.91948,6.1480016,53.8270721435547
swe,Švédsko,541064000000,52129,-2.8,0.7,42.708748,240.29164,100
che,Švýcarsko,751877000000,87367,-2.5,-0.7,13.322125,268.54154,100
stp,Svatý Tomáš a Princův ostrov,477000000,2190,3,9.8,81.373742,17.228166,75.1819076538086
tha,Thajsko,501712000000,7188,-6.1,-0.8,44.940813,150.29191,99.9
tls,Východní Timor,1777000000,1348,-7.6,0.5,13.940408,18.323514,94.716178894043
tgo,Togo,7586000000,916,1.8,1.8,60.280264,26.415288,52.4410972595215
ton,Tonga,499000000,4979,0.7,0.4,43.251543,38.810405,98.4
tto,Trinidad a Tobago,21587000000,15425,-7.9,0.6,60.388685,65.864138,100
tur,Turecko,719919000000,8610,1.8,12.3,35.920159,89.130229,100
uga,Uganda,38141000000,925,-0.8,2.8,44.096894,12.628446,41.3
ukr,Ukrajina,155300000000,3741,-4,2.7,60.878302,56.238837,100
gbr,Spojené království,2709678000000,40394,-9.8,0.9,103.49894,170.34974,100
usa,Spojené státy americké,20893750000000,63358,-3.4,1.2,119.00868,164.37518,100
ury,Uruguay,56577000000,16023,-5.9,9.8,58.078448,32.638082,99.9
vut,Vanuatu,932000000,3090,-6.8,5.7,48.667573,61.005709,64.6662368774414
vnm,Vietnam,343114000000,3523,2.9,3.2,43.685271,116.65741,99.4
zmb,Zambie,19319000000,1023,-3,15.7,128.70214,11.434005,43
zwe,Zimbabwe,21924000000,1443,-4.1,557.2,86.146514,6.9459276,41.0891075134277
