Year,Country,EFW,Rank
1965,Albania,3.154986299165356,118
1965,Algeria,3.6208286900400632,112
1965,Angola,3.98297084986511,105
1965,Argentina,5.675413169867681,52
1965,Australia,7.387365368873274,9
1965,Austria,6.626116013195629,20
1965,Belgium,7.279489408883004,11
1965,Benin,3.884033860657735,107
1965,Bolivia,6.2476125079151075,30
1965,Botswana,4.336817161758193,92
1965,Brazil,5.486512199778488,59
1965,Bulgaria,3.3095142717576422,115
1965,Burkina Faso,5.276690750484416,67
1965,Burundi,4.485272226618234,89
1965,Cameroon,5.917432967630137,41
1965,Canada,7.538032947480765,4
1965,Central Afr. Rep.,4.011935792412551,104
1965,Chad,4.537429570462942,87
1965,Chile,5.891740914440448,42
1965,China,3.6725991665474953,110
1965,Colombia,6.148120513517935,33
1965,"Congo, Dem. R.",4.582738203559482,86
1965,"Congo, Rep. Of",4.07416681564115,101
1965,Costa Rica,6.647078413148689,19
1965,Cote d'Ivoire,5.003455817938397,75
1965,Cyprus,5.679930574608944,51
1965,Czech Rep.,3.236957703868774,116
1965,Denmark,6.812561524559589,15
1965,Dominican Rep.,5.395537246079138,60
1965,Ecuador,6.571323039228927,23
1965,Egypt,4.524623589632499,88
1965,El Salvador,5.301689661389224,65
1965,Ethiopia,4.078088575788609,100
1965,Finland,7.006484070408325,12
1965,France,6.101786613878777,34
1965,Gabon,5.02893310244769,74
1965,"Gambia, The",5.58263320216405,57
1965,Germany,7.473843886052348,6
1965,Ghana,4.121784500652828,95
1965,Greece,5.9627052113334695,39
1965,Guatemala,5.643582461995498,55
1965,Guinea,3.686122725480275,109
1965,Guinea-Bissau,3.699203566803611,108
1965,Guyana,4.98787805855436,77
1965,Haiti,5.652202353378428,53
1965,Honduras,6.1759524564573525,32
1965,Hong Kong,7.750930737906872,1
1965,Hungary,3.3608349753872893,114
1965,Iceland,6.825240289059334,13
1965,India,5.4887462382538965,58
1965,Indonesia,4.664966022582178,85
1965,Iran,5.366569026049025,61
1965,Ireland,6.016151860629751,36
1965,Israel,5.330972437658536,64
1965,Italy,6.344320239673706,27
1965,Jamaica,7.347481944095005,10
1965,Japan,6.549279930330709,24
1965,Jordan,4.935767096109697,78
1965,Kenya,5.6518742733312575,54
1965,"Korea, South",5.249042674069898,70
1965,Lebanon,6.260151037512747,29
1965,Libya,4.792576410829751,81
1965,Luxembourg,7.744432921103151,2
1965,Madagascar,5.266579531024933,68
1965,Malawi,4.2969491414905,93
1965,Malaysia,6.041632038338534,35
1965,Mali,4.078795977695247,99
1965,Malta,5.766643384623885,46
1965,Mauritania,3.632941582023679,111
1965,Mauritius,7.395660481513243,8
1965,Mexico,6.304567435887009,28
1965,Morocco,4.995635574559381,76
1965,Mozambique,4.121170545540664,96
1965,Myanmar,3.9373557845689104,106
1965,Nepal,5.697069475589706,50
1965,Netherlands,6.803981125510356,16
1965,New Zealand,5.830193425705473,45
1965,Nicaragua,4.680771446022225,84
1965,Niger,5.072421554593705,73
1965,Nigeria,4.783801974683542,82
1965,Norway,6.597214396865358,21
1965,Pakistan,5.264718062904468,69
1965,Panama,6.819695823749823,14
1965,Pap. New Guinea,4.836732233076759,79
1965,Paraguay,5.7182547485246555,49
1965,Peru,6.687058488257399,18
1965,Philippines,6.210744590174279,31
1965,Poland,4.384581395074819,91
1965,Portugal,6.587458859650434,22
1965,Romania,3.469873619331696,113
1965,Russia,3.185179263502759,117
1965,Rwanda,4.063821354301476,102
1965,Saudi Arabia,5.634220907173975,56
1965,Senegal,4.10660080067144,97
1965,Sierra Leone,5.293559782152108,66
1965,Singapore,7.613497170739796,3
1965,South Africa,5.16569706017376,71
1965,Spain,5.887670228560678,43
1965,Sri Lanka,5.105471832522932,72
1965,Suriname,5.74656116570533,48
1965,Sweden,6.7627891415223615,17
1965,Switzerland,7.450138932376339,7
1965,Syria,5.340932341715272,63
1965,Taiwan,5.984600636538439,38
1965,Tanzania,4.0978988779580465,98
1965,Thailand,5.751436511268545,47
1965,Togo,4.748462231398133,83
1965,Trinidad & Tob.,5.95466394772717,40
1965,Tunisia,4.059900992559162,103
1965,Turkey,5.347019946278223,62
1965,Uganda,4.448758803144325,90
1965,United Kingdom,6.486000283049492,26
1965,United States,7.5288214080844345,5
1965,Uruguay,6.009190825956161,37
1965,Venezuela,6.508695408755925,25
1965,"Yemen, Rep.",5.870616000695277,44
1965,Zambia,4.802119188076613,80
1965,Zimbabwe,4.274364768868583,94
1960,Albania,3.1542171763772378,116
1960,Algeria,3.368810022595287,111
1960,Angola,4.068791352627457,97
1960,Argentina,5.779887541338503,45
1960,Australia,6.670721155875885,18
1960,Austria,6.650356256517949,20
1960,Belgium,7.321295446782441,8
1960,Benin,3.8121843824880184,106
1960,Bolivia,5.697362061830521,50
1960,Botswana,4.555502897951749,81
1960,Brazil,5.566961145871861,57
1960,Bulgaria,3.307065413823776,113
1960,Burkina Faso,5.327570739242722,59
1960,Burundi,4.102087909673763,93
1960,Cameroon,4.08263448551376,94
1960,Canada,7.573896747322195,3
1960,Central Afr. Rep.,4.11366409510029,92
1960,Chad,4.553365892646708,82
1960,Chile,5.92539666224531,41
1960,China,3.5617585446580975,109
1960,Colombia,6.2933639440635405,31
1960,"Congo, Dem. R.",4.040645435215898,98
1960,"Congo, Rep. Of",4.2737881503233925,88
1960,Costa Rica,7.1232163044770616,9
1960,Cote d'Ivoire,4.2507831480984715,89
1960,Cyprus,6.1870967447741405,35
1960,Czech Rep.,3.236957703868774,114
1960,Denmark,7.079513268050791,11
1960,Dominican Rep.,5.3103071815987315,60
1960,Ecuador,6.473767464276873,27
1960,Egypt,4.664158753389847,77
1960,El Salvador,6.5598199573888305,24
1960,Ethiopia,4.570848418379427,79
1960,Finland,6.651219214712196,19
1960,France,6.013806188297972,38
1960,Gabon,4.08163651209733,95
1960,"Gambia, The",4.527579049139582,83
1960,Germany,7.455398830438668,7
1960,Ghana,4.969083345191141,70
1960,Greece,5.9558954235204755,40
1960,Guatemala,6.697881536449998,17
1960,Guinea,3.8780339061312907,105
1960,Guinea-Bissau,3.7949115758307626,107
1960,Guyana,5.060747844068758,67
1960,Haiti,5.635583422314835,55
1960,Honduras,6.633135887321698,22
1960,Hong Kong,7.846681688071104,1
1960,Hungary,3.3396614206581074,112
1960,Iceland,6.96884463937128,12
1960,India,5.745945541827115,47
1960,Indonesia,4.486908031116798,84
1960,Iran,4.902603525864051,74
1960,Ireland,5.903434432563175,42
1960,Israel,5.308337987815438,61
1960,Italy,6.127463744306256,36
1960,Jamaica,5.858348845957558,43
1960,Japan,6.2678332362162,32
1960,Jordan,3.8798895919925105,104
1960,Kenya,5.660335487139969,53
1960,"Korea, South",5.024748999879607,69
1960,Lebanon,6.189178875390461,34
1960,Luxembourg,7.772293335052382,2
1960,Madagascar,4.471515417779749,85
1960,Malawi,3.912705305054392,103
1960,Malaysia,6.326950665074988,30
1960,Mali,4.219742837445902,90
1960,Malta,5.67970010912853,51
1960,Mauritania,3.461618494274372,110
1960,Mauritius,7.0918716993159645,10
1960,Mexico,6.003092973318391,39
1960,Morocco,6.510650020612893,25
1960,Mozambique,4.136021109117781,91
1960,Myanmar,4.913258682226676,73
1960,Nepal,3.9875685171169795,101
1960,Netherlands,6.768539123510562,15
1960,New Zealand,5.85766701580366,44
1960,Nicaragua,5.600672236859202,56
1960,Niger,3.994707361578855,100
1960,Nigeria,5.52739170617309,58
1960,Norway,6.581512377015423,23
1960,Pakistan,5.043305580018517,68
1960,Panama,6.742563161752049,16
1960,Pap. New Guinea,4.963004285178727,71
1960,Paraguay,5.645452276046688,54
1960,Peru,6.931880475366935,13
1960,Philippines,5.265600882769721,62
1960,Poland,4.384228880463597,87
1960,Portugal,6.637457427788284,21
1960,Romania,3.762941465593609,108
1960,Russia,3.1780789337240085,115
1960,Rwanda,4.034976662760956,99
1960,Senegal,4.070551224540947,96
1960,Sierra Leone,5.147291637905427,65
1960,Singapore,7.49281581364321,6
1960,South Africa,5.24679549292496,63
1960,Spain,5.744602527224753,48
1960,Sri Lanka,5.216791048596045,64
1960,Suriname,5.7039203929450935,49
1960,Sweden,6.810919790704819,14
1960,Switzerland,7.521803000280258,5
1960,Syria,6.381375864516707,28
1960,Taiwan,4.947798074051574,72
1960,Tanzania,3.9583771762399143,102
1960,Thailand,5.74869141977433,46
1960,Togo,4.562630546070897,80
1960,Trinidad & Tob.,6.045393143653381,37
1960,Tunisia,4.6554152756269565,78
1960,Turkey,4.890729413980624,75
1960,Uganda,4.845655300431806,76
1960,United Kingdom,6.495834262891649,26
1960,United States,7.556701902392913,4
1960,Uruguay,6.262443064377674,33
1960,Venezuela,6.356792979544662,29
1960,"Yemen, Rep.",5.679407319440221,52
1960,Zambia,5.097048810671475,66
1960,Zimbabwe,4.4171920888220955,86
1955,Albania,3.1328331334791057,111
1955,Algeria,3.121868430858866,112
1955,Angola,3.4440852032073295,97
1955,Argentina,5.280863775662576,51
1955,Australia,6.1685901666520415,24
1955,Austria,5.441095055463482,48
1955,Belgium,6.3114581101911895,20
1955,Benin,3.4065125928222555,98
1955,Bolivia,4.662099106416091,72
1955,Botswana,4.055395013715389,82
1955,Brazil,4.938956146407898,60
1955,Bulgaria,3.3051389789158008,102
1955,Burkina Faso,4.257009902255241,79
1955,Burundi,3.082080412738661,113
1955,Canada,7.445536187173579,2
1955,Central Afr. Rep.,4.73313794334447,68
1955,Chad,4.9483024393931565,59
1955,Chile,5.196728605660556,53
1955,China,3.771739578084131,88
1955,Colombia,5.102943214526288,55
1955,"Congo, Dem. R.",3.7870232969402426,87
1955,"Congo, Rep. Of",3.752023905180168,90
1955,Costa Rica,7.13905478199799,4
1955,Cote d'Ivoire,3.5839038085636057,92
1955,Cyprus,6.34270277701763,19
1955,Czech Rep.,3.2013453787854957,108
1955,Denmark,6.042513209793961,29
1955,Dominican Rep.,5.505829832966431,44
1955,Ecuador,6.423923198653225,15
1955,Egypt,4.7256591378047155,69
1955,El Salvador,6.404083117544159,16
1955,Ethiopia,4.649458522001952,73
1955,Finland,5.914600174674401,34
1955,France,5.7464437391472085,41
1955,Gabon,3.548200437253361,94
1955,"Gambia, The",4.666303323145437,71
1955,Germany,6.1140489927454675,27
1955,Ghana,4.51856603535384,75
1955,Greece,5.494158854323409,46
1955,Guatemala,6.526913767528067,13
1955,Guinea,3.360193771958937,100
1955,Guinea-Bissau,3.226399192852877,106
1955,Guyana,4.923460379747887,62
1955,Haiti,5.856036095530655,37
1955,Honduras,6.6747542220428056,8
1955,Hungary,3.269401055527932,103
1955,Iceland,6.565785142479665,12
1955,India,5.300548773227565,50
1955,Indonesia,4.421731602388297,76
1955,Iran,4.9115641411177595,63
1955,Ireland,5.84508761176565,38
1955,Israel,4.81033588766776,66
1955,Italy,5.502597161002781,45
1955,Jamaica,5.873856041970072,36
1955,Japan,6.154873458052457,26
1955,Jordan,3.911646022797238,86
1955,Kenya,4.185925347031101,81
1955,"Korea, South",4.669689570010931,70
1955,Lebanon,6.190358223603785,23
1955,Luxembourg,6.354619449696351,18
1955,Madagascar,4.028880627437598,84
1955,Malawi,4.001086663198607,85
1955,Malaysia,6.041322219705397,30
1955,Mali,3.4852209198169586,95
1955,Mauritania,3.472297686260289,96
1955,Mauritius,7.380084522951645,3
1955,Mexico,5.987297195101939,32
1955,Morocco,4.825342967671141,65
1955,Mozambique,3.7049911028421367,91
1955,Myanmar,5.024343845849193,56
1955,Nepal,3.228567412938795,105
1955,Netherlands,6.16501206389057,25
1955,New Zealand,5.775132580467884,40
1955,Nicaragua,5.463186829759552,47
1955,Niger,3.5606139006000674,93
1955,Nigeria,5.203108300402137,52
1955,Norway,5.912946215896536,35
1955,Pakistan,4.6391944882114515,74
1955,Panama,6.733374412757129,7
1955,Pap. New Guinea,5.718045649604398,42
1955,Paraguay,4.861985064340145,64
1955,Peru,6.648170501831187,9
1955,Philippines,5.4338256388612916,49
1955,Poland,4.23997826755512,80
1955,Portugal,6.392121466692832,17
1955,Romania,3.1485391263219826,110
1955,Russia,3.155187308566645,109
1955,Rwanda,3.2161514472079107,107
1955,Senegal,3.345551067053413,101
1955,Sierra Leone,3.770286826167122,89
1955,Singapore,6.578908357681103,11
1955,South Africa,4.924351086240167,61
1955,Spain,5.016384477138756,57
1955,Sri Lanka,5.979705681532012,33
1955,Suriname,6.838457953272783,5
1955,Sweden,6.22430833203567,22
1955,Switzerland,7.485204131380877,1
1955,Syria,6.493727489010649,14
1955,Taiwan,4.052570493878808,83
1955,Tanzania,4.292482353600175,78
1955,Thailand,5.778741001782931,39
1955,Togo,3.269301596090064,104
1955,Trinidad & Tob.,6.014116690734467,31
1955,Tunisia,3.3626451586061825,99
1955,Turkey,4.999252749282139,58
1955,Uganda,4.3951885887591535,77
1955,United Kingdom,6.2950902894682645,21
1955,United States,6.7681498208559425,6
1955,Uruguay,6.582297191841956,10
1955,Venezuela,6.066881279046958,28
1955,"Yemen, Rep.",5.654965067416568,43
1955,Zambia,5.192765595293741,54
1955,Zimbabwe,4.77551379746339,67
1950,Albania,3.1600473276430665,104
1950,Algeria,3.1576708164026988,105
1950,Angola,3.4440852032073295,92
1950,Argentina,5.303008298872356,50
1950,Australia,6.4737940515548456,15
1950,Austria,5.62022029545774,43
1950,Belgium,6.016210591278921,30
1950,Benin,3.4065125928222555,94
1950,Bolivia,5.128338584457783,54
1950,Botswana,4.055395013715389,74
1950,Brazil,5.096471942900975,57
1950,Bulgaria,3.2675748764752646,100
1950,Burkina Faso,4.2563206161907985,70
1950,Burundi,3.0702741972982857,108
1950,Canada,6.679674597934278,10
1950,Central Afr. Rep.,4.73313794334447,62
1950,Chad,4.9483024393931565,58
1950,Chile,5.573846097670435,44
1950,China,3.05040353749438,109
1950,Colombia,5.6295809085449875,41
1950,"Congo, Dem. R.",3.7728211382517047,81
1950,"Congo, Rep. Of",3.752023905180168,82
1950,Costa Rica,5.9541696891327405,33
1950,Cote d'Ivoire,3.5839038085636057,86
1950,Cyprus,6.019426111621418,29
1950,Czech Rep.,3.0853429034021307,107
1950,Denmark,6.169778880022031,23
1950,Dominican Rep.,4.780953026547667,61
1950,Ecuador,6.4324685714287995,17
1950,Egypt,5.5071621074846835,46
1950,El Salvador,6.651629342615701,11
1950,Ethiopia,4.047970125305869,77
1950,Finland,6.069743716598808,28
1950,France,6.1671343046113964,25
1950,Gabon,3.548200437253361,87
1950,"Gambia, The",4.666303323145437,63
1950,Germany,6.462092546201363,16
1950,Ghana,3.8040076947353416,80
1950,Greece,5.2021898289099,51
1950,Guatemala,6.51045658853795,14
1950,Guinea,3.354265803928089,97
1950,Guinea-Bissau,3.2264215082383516,101
1950,Guyana,5.120791060235101,55
1950,Haiti,4.409903687605659,66
1950,Honduras,7.0956668637651,5
1950,Hungary,3.1737047607262445,103
1950,Iceland,6.733589610983133,9
1950,India,5.9655327742409145,32
1950,Indonesia,4.0512432107729435,76
1950,Iran,5.34455096192568,49
1950,Ireland,6.207898436601749,22
1950,Israel,5.110229121004549,56
1950,Italy,6.408985475847398,18
1950,Jamaica,4.371511992614964,67
1950,Japan,6.11600047019021,26
1950,Jordan,4.053233247648111,75
1950,Kenya,4.31286297380082,68
1950,"Korea, South",4.1973347724893415,72
1950,Luxembourg,6.169723852149749,24
1950,Madagascar,4.028880627437598,78
1950,Malawi,3.389915444869355,95
1950,Malaysia,6.936746777626976,6
1950,Mali,3.4852209198169586,90
1950,Mauritania,3.472297686260289,91
1950,Mauritius,7.372125151619619,3
1950,Mexico,5.776364910018921,37
1950,Morocco,4.851401048058211,60
1950,Mozambique,3.7049911028421367,84
1950,Myanmar,5.3594241062559735,48
1950,Nepal,2.939449831995586,111
1950,Netherlands,5.873434164306996,36
1950,New Zealand,6.358184202070175,19
1950,Nicaragua,5.886627326724783,35
1950,Niger,3.546569633868162,89
1950,Nigeria,4.464890214594703,64
1950,Norway,6.762754743184299,8
1950,Pakistan,4.883720275577447,59
1950,Panama,6.649409226615168,12
1950,Pap. New Guinea,5.718045649604398,40
1950,Paraguay,3.547848979963774,88
1950,Peru,6.294679520915432,21
1950,Philippines,6.1150549018016545,27
1950,Poland,4.207785714125351,71
1950,Portugal,6.015210535133194,31
1950,Romania,3.137440078403684,106
1950,Russia,3.035994061804978,110
1950,Rwanda,3.2161514472079107,102
1950,Senegal,3.345551067053413,98
1950,Sierra Leone,3.7263705537579597,83
1950,Singapore,6.578908357681103,13
1950,South Africa,4.433364180090614,65
1950,Spain,5.197169598918178,52
1950,Sri Lanka,7.222962653824622,4
1950,Sweden,6.841988356349821,7
1950,Switzerland,7.408168685974534,2
1950,Syria,5.755677669126418,39
1950,Taiwan,3.418131695925698,93
1950,Tanzania,3.6924902833386835,85
1950,Thailand,5.536878091460205,45
1950,Togo,3.269301596090064,99
1950,Trinidad & Tob.,5.37941502079671,47
1950,Tunisia,3.3626451586061825,96
1950,Turkey,5.146398737201386,53
1950,Uganda,4.288713627672317,69
1950,United Kingdom,5.75961478248181,38
1950,United States,7.594035006504951,1
1950,Uruguay,5.927549661927964,34
1950,Venezuela,6.304037190545664,20
1950,"Yemen, Rep.",5.628150009408989,42
1950,Zambia,4.06938377644064,73
1950,Zimbabwe,3.8305761109594174,79
