"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.633,2.64,2.73,2.797,2.9,3.857,4.649,5.264,5.976,5.656,5.399,5.677,6.303,7.631,8.542,9.177,10.451,12.556,11.914,11.105,14.382,16.351,16.974,17.716,15.951,11.937,13.219,14.845,15.39,14.157,15.777,17.94,19.909,22.228,23.736,25.391,29.84,34.849
Myanmar,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",5.154,6.439,7.736,7.131,6.921,8.881,10.754,12.126,13.585,17.855,25.47,30.864,38.084,53.916,59,60.903,63.153,62.655,60.09,61.267,66.699,68.802,81.257,65.16,56.757,63.988,67.348,70.772,74.348,78.262,82.78
Namibia,"no data","no data","no data","no data","no data","no data","no data","no data","no data",2.268,2.568,2.841,3.296,3.156,3.537,3.948,3.954,4.11,3.832,3.824,3.941,3.577,3.396,4.974,6.673,7.324,7.711,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.676,12.539,10.581,12.307,12.345,13.486,14.286,14.808,15.206,15.552,15.792
Nauru,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.031,0.03,0.029,0.023,0.037,0.044,0.048,0.066,0.101,0.094,0.099,0.085,0.097,0.109,0.131,0.125,0.125,0.146,0.151,0.151,0.158,0.163,0.17,0.176,0.182
Nepal,2.258,2.641,2.669,2.92,3.088,3.208,3.49,3.621,4.269,4.316,4.441,4.86,4.416,4.743,4.954,5.378,5.544,6.026,5.992,6.163,6.536,6.719,6.816,7.217,8.296,9.329,10.314,11.775,14.308,14.661,18.25,21.682,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.186,33.434,36.289,40.149,42.097,46.207,50.211,54.523,59.198,64.328
Netherlands,193.758,162.4,157.338,153.179,142.578,144.655,201.599,246.928,264.223,260.532,321.405,331.097,366.004,355.931,382.55,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.458,910.295,909.065,1013.52,993.681,1080.88,1135.12,1175.499,1214.303,1251.471,1284.13
"New Zealand",22.523,23.442,23.207,22.456,22.349,22.51,27.393,36.931,45.447,44.097,45.773,43.438,41.53,44.797,52.901,62.263,69.095,68.863,56.813,58.892,54.126,53.128,62.061,82.411,101.601,113.264,109.739,134.879,135.373,121.701,145.362,166.939,175.037,187.139,200.159,176.213,185.898,203.558,209.623,210.828,210.092,249.312,241.938,251.969,251.404,260.366,272.822,286.597,301.358
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.611,12.586,14.001,15.77,17.287,18.381,19.391,20.463,21.594,22.788
Niger,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.181,12.814,12.917,13.764,14.923,15.222,16.617,19,20.61,22.229,23.914,25.582
Nigeria,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,448.12,429.423,441.424,477.376,506.601,553.667,625.355,708.372,805.316,915.634
"North Macedonia ","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.385,13.835,13.671,15.278,16.593,17.644,18.68,19.745,20.732
Norway,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.789,408.743,367.633,490.293,579.267,554.105,564.396,571.696,573.265,582.116,591.431
Oman,7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.505,88.061,73.971,88.192,114.667,104.902,109.689,112.324,115.584,119.526,123.936
Pakistan,34.821,41.192,45.026,42.038,45.639,45.634,46.734,48.848,56.254,58.65,58.862,66.87,71.541,75.718,76.325,89.197,93.145,91.84,91.418,86.573,89.651,87.389,87.933,101.103,118.844,132.833,154.493,171.512,191.425,188.991,199.405,240.385,252.534,260.257,275.063,304.481,313.623,339.229,356.163,321.071,300.41,348.227,376.493,"no data","no data","no data","no data","no data","no data"
Palau,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.149,0.159,0.163,0.155,0.166,0.186,0.191,0.196,0.199,0.184,0.184,0.195,0.215,0.226,0.246,0.284,0.303,0.29,0.288,0.281,0.258,0.225,0.225,0.262,0.298,0.32,0.335,0.348,0.362
Panama,4.104,4.645,5.132,5.269,5.5,5.818,6.046,6.073,5.25,5.264,5.723,6.292,7.153,7.812,8.33,8.515,10.04,10.849,11.762,12.326,12.502,12.704,13.204,13.915,15.255,16.638,18.438,21.296,25.156,27.117,29.44,34.686,40.43,45.6,49.921,54.092,57.908,62.203,64.929,66.984,53.977,63.605,71.966,77.257,82.145,87.14,92.438,98.058,104.02
"Papua New Guinea",4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,23.848,26.706,31.819,32.86,33.543,33.858,35.973,38.266,40.664
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.925,35.432,39.951,41.284,42.82,45.283,48.49,51.291,54.327,57.611
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.25,121.763,148.945,170.923,193.1,202.584,202.88,192.025,195.463,215.681,226.795,232.345,205.82,225.937,242.396,268.235,279.456,292.885,306.954,321.476,336.74
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.42,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.086,404.261,440.901,475.646,512.006,551.12,593.712,640.18
Poland,56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,475.697,524.374,495.23,515.762,539.212,476.788,469.65,524.78,588.804,595.968,599.458,679.524,688.301,748.887,800.483,864.358,920.306,971.474,1003.034
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,240.013,228.849,254.152,252.381,267.721,277.811,288.962,299.586,309.927,318.602
"Puerto Rico",14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.958,105.126,103.02,106.526,116.459,120.838,121.531,123.037,125.124,126.95,128.986
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.677,225.477,219.57,225.67,237.335,247.667,257.57,267.842
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.447,40.396,46.035,57.79,75.059,98.547,122.114,174.831,215.568,174.564,170.294,192.835,179.243,189.83,199.981,177.877,185.334,210.529,243.498,250.993,251.699,285.609,301.845,348.902,376.671,405.203,429.652,450.933,469.624
"Russian Federation","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.484,2288.428,2048.836,1356.704,1280.648,1575.14,1653.006,1695.724,1488.119,1836.631,2215.294,2062.649,2118.252,2159.054,2206.01,2234.733,2266.255
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.961,2.137,2.388,2.943,3.317,4.068,5.179,5.671,6.122,6.881,7.651,7.816,8.235,8.542,8.691,9.253,9.643,10.355,10.185,11.067,12.703,13.149,13.634,14.54,15.572,16.723,18.297
"Saint Kitts and Nevis",0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.826,0.875,0.954,0.958,1.009,1.061,1.077,1.108,0.885,0.861,0.973,1.052,1.102,1.155,1.21,1.268,1.329
"Saint Lucia",0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.429,0.486,0.579,0.613,0.674,0.684,0.713,0.762,0.788,0.805,0.877,0.921,0.932,0.892,0.899,0.987,1.066,1.135,1.267,1.331,1.427,1.399,1.482,1.568,1.598,1.66,1.749,1.807,1.865,1.997,2.057,2.094,1.516,1.691,2.084,2.262,2.371,2.48,2.584,2.687,2.794
"Saint Vincent and the Grenadines",0.089,0.11,0.123,0.132,0.146,0.157,0.174,0.19,0.217,0.232,0.26,0.275,0.3,0.309,0.313,0.341,0.358,0.376,0.403,0.422,0.428,0.462,0.488,0.509,0.55,0.58,0.644,0.714,0.733,0.714,0.72,0.714,0.73,0.765,0.771,0.787,0.814,0.844,0.884,0.911,0.869,0.872,0.947,1.039,1.116,1.183,1.24,1.299,1.361
Samoa,0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.867,0.844,0.832,0.898,0.938,0.989,1.043,1.095,1.155
"San Marino","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.75,1.686,1.807,1.846,1.895,1.944,1.992,2.031
"Saudi Arabia",164.54,184.292,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.474,132.047,136.905,132.791,134.995,143.152,158.451,165.742,146.775,161.717,189.515,184.137,189.606,215.807,258.742,328.206,376.398,415.687,519.797,429.098,528.207,676.635,741.85,753.864,766.606,669.485,665.999,714.994,846.584,838.565,734.271,868.586,1108.149,1061.902,1082.076,1120.109,1161.992,1207.509,1256.783
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.64,27.462,31.221,35.005,36.463,37.928,39.174,43.388
Serbia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",23.635,18.529,11.973,9.79,13.009,17.185,22.515,26.017,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.3,48.394,47.062,39.656,40.693,44.179,50.641,51.514,53.356,63.082,70.909,73.961,80.54,88.226,95.733,103.284,110.406
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.416,1.49,1.573,1.629,1.683,1.262,1.457,1.926,1.95,2.082,2.22,2.357,2.55,2.623
"Sierra Leone",1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.074,4.059,4.148,3.939,3.52,3.607,3.781,4.066,4.472,4.83
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,319.03,343.273,376.87,376.837,348.392,423.797,466.789,515.548,537.255,561.337,586.838,613.422,641.321
"Slovak Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",13.726,15.837,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,91.237,99.905,94.684,98.937,101.463,88.91,89.928,95.616,106.186,105.732,106.611,116.605,113.529,127.533,135.62,142.144,148.427,154.532,160.092
Slovenia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.26,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.572,54.202,54.338,53.664,61.79,62.167,68.108,72.12,76.464,80.311,84.109,87.545
"Solomon Islands",0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.545,1.596,1.701,1.801,1.919,2.039,2.169,2.306
Somalia,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",3.917,4.042,4.577,5.025,5.335,5.534,5.609,5.856,6.485,6.883,7.628,8.158,8.738,9.429,10.26,11.128,12.052,12.995
"South Africa",89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,403.991,388.446,337.521,418.907,405.705,399.015,415.254,430.003,443.573,456.742,468.557
"South Sudan, Republic of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",17.34,11.267,14.947,15.179,15.326,2.899,1.804,3.118,4.044,5.352,5.935,7.871,7.012,7.077,7.207,7.53,7.962,8.717
Spain,230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.59,1355.599,1372.174,1196.278,1233.215,1312.782,1422.347,1394.474,1275.941,1428.33,1400.52,1492.432,1560.052,1617.657,1668.55,1716.114,1753.505
"Sri Lanka",5.194,5.404,5.834,6.298,7.382,7.302,7.826,8.149,8.518,8.55,9.787,10.716,11.553,12.351,14.245,15.127,16.592,18.544,19.05,19.143,20.007,19.236,20.238,22.352,24.423,28.88,33.447,38.27,48.177,49.75,58.643,67.725,70.392,76.934,82.483,85.091,88,94.376,94.484,89.015,85.349,88.979,75.296,"no data","no data","no data","no data","no data","no data"
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.432,33.564,34.407,34.738,49.423,46.705,42.143,42.858,43.95,45.765,54.841
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,3.984,2.884,2.985,3.521,3.47,3.78,3.964,4.187,4.436,4.687
Sweden,140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,533.88,547.054,636.856,585.939,599.052,615.49,636.845,655.411,677.406,698.955
Switzerland,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,352.955,340.181,294.747,303.168,297.555,279.171,286.699,309.499,362.133,403.435,418.046,441.642,490.813,566.957,553.718,598.226,715.644,686.373,706.404,726.684,693.937,687.55,695.258,725.766,721.824,739.021,799.712,807.234,869.601,915.849,954.403,1005.767,1048.669,1106.478
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data"
"SÃ£o TomÃ© and PrÃ­ncipe",0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.431,0.477,0.531,0.552,0.625,0.663,0.691,0.724,0.786,0.846
"Taiwan Province of China",42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,611.396,673.178,775.741,761.691,790.728,843.191,878.779,918.448,953.368,990.753
Tajikistan,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.934,10.467,12.796,14.241,15.373,16.601,17.905,19.32
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.701,65.549,69.938,77.063,85.421,94.178,102.803,112.438,123.598,136.094
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.547,543.923,500.525,505.523,536.16,574.231,616.998,653.384,690.648,729.49,767
Timor-Leste,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.447,1.594,1.651,1.596,1.564,2.029,2.158,3.621,3.659,1.988,2.002,2.146,2.299,2.463,2.638
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.115,7.221,7.586,8.43,8.173,9.001,9.651,10.117,10.563,11.367,12.232
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.481,0.511,0.49,0.47,0.498,0.541,0.568,0.593,0.616,0.641,0.667
