"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
"Trinidad and Tobago",6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,27.122,28.557,29.489,26.852,23.505,23.798,24.322,23.85,21.059,24.46,27.883,28.223,29.49,30.337,30.927,31.607,32.309
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,14.133,14.897,17.809,16.724,17.886,20.616,22.324,21.762,22.87,24.066,22.524,23.146,24.274,28.797,32.71,33.851,36.059,40.819,47.039,45.593,46.21,48.122,47.311,48.681,50.273,45.779,44.36,42.167,42.687,41.905,42.54,46.688,46.601,49.815,51.53,52.682,54.542,56.773,58.872
Turkmenistan,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",1.607,9.063,7.675,9.927,4.021,4.531,4.837,6.518,8.487,11.717,14.703,19.307,23.991,29.023,36.154,43.875,36.363,34.162,34.788,44.07,49.858,51.301,55.523,44.06,41.698,46.365,48.686,52.961,53.194,64.367,78.003,82.649,91.796,102.24,113.826,126.927,141.675
Tuvalu,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.032,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.052,0.06,0.06,0.065,0.07,0.074,0.078,0.082,0.086
"TÃ¼rkiye, Republic of",96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.694,759.45,720.11,817.508,905.527,1029.303,1087.052,1146.192,1209.774,1272.781,1334.701
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.65,29.596,31.402,34.183,38.055,37.514,42.941,48.841,49.792,53.793,58.911,65.136,71.003,76.988
Ukraine,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.747,85.996,107.767,143.26,181.313,117.079,136.011,163.059,175.781,183.31,133.392,90.922,93.349,112.127,130.905,153.904,156.566,200.155,151.502,148.712,"no data","no data","no data","no data","no data"
"United Arab Emirates",40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.199,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,384.61,400.219,414.105,370.276,369.255,390.517,427.049,417.99,349.473,415.022,507.535,498.978,519.226,545.063,573.956,605.332,639.339
"United Kingdom",604.85,588.508,559.452,533.014,504.994,537.245,655.186,814.43,990.377,1008.476,1198.166,1250.006,1291.208,1156.686,1243.438,1346.449,1423.074,1562.135,1655.219,1689.707,1669.283,1649.083,1788.663,2058.485,2424.053,2547.665,2713.729,3094.006,2962.502,2426.291,2493.844,2667.317,2706.822,2788.128,3066.819,2935.506,2709.678,2685.637,2881.845,2858.728,2706.542,3123.231,3070.6,3158.938,3375.217,3573.614,3792.705,4015.519,4245.423
"United States",2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9631.175,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16843.225,17550.675,18206.025,18695.1,19477.35,20533.075,21380.95,21060.45,23315.075,25464.475,26854.599,27741.123,28765.96,29902.871,31091.594,32349.658
Uruguay,12.165,13.578,11.1,6.093,5.794,5.662,7.029,8.794,9.098,9.589,11.156,13.445,15.45,17.987,20.95,23.168,24.625,26.044,27.587,26.066,24.786,22.705,14.8,13.103,14.896,18.905,21.325,25.495,33.01,34.418,43.78,52.132,55.701,62.59,62.28,57.971,57.335,64.295,64.541,61.238,53.558,59.321,71.887,77.313,80.81,84.414,87.782,91.422,94.984
Uzbekistan,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",4.476,6.897,8.175,12.746,17.453,18.433,18.738,21.362,17.195,14.581,12.106,12.697,15.045,17.939,21.344,27.963,35.858,41.945,49.772,60.213,67.52,73.192,80.848,85.662,85.658,62.081,52.87,60.284,60.225,69.601,80.418,92.332,103.53,116.282,131.765,148.984,168.662
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.929,0.93,1.008,0.942,1.001,1.064,1.137,1.217,1.293,1.372,1.449
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,316.482,372.592,258.931,214.69,125.449,112.915,115.883,102.021,73.003,43.788,57.148,93.111,96.628,100.633,"no data","no data","no data","no data"
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.426,124.756,129.022,143.212,171.312,195.169,212.728,232.888,236.795,252.146,277.071,304.47,331.818,346.31,369.736,406.452,449.094,498.373,550.47,605.299,662.903,725.529
"West Bank and Gaza","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.515,13.99,13.972,15.405,16.128,16.277,17.134,15.532,18.109,18.754,19.206,19.996,20.743,21.416,22.282,23.184
Yemen,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.444,31.318,26.842,21.606,21.888,18.373,16.957,20.645,19.529,21.102,24.915,28.624,30.69,32.223
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,3.87,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.111,22.148,28.5,29.272,31.469,33.931,36.693,39.669,42.947
Zimbabwe,"no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.1,17.116,19.093,19.499,19.969,20.555,21.385,36.945,26.032,26.878,35.967,33.02,29.931,26.674,27.978,28.435,26.699,27.779
"Africa (Region)",465.992,475.734,481.624,462.903,404.804,397.357,436.642,489.891,520.382,559.462,652.877,602.915,604.244,605.136,593.589,705.236,787.203,816.984,825.778,683.407,703.55,681.515,695.907,839.674,1005.614,1182.626,1364.207,1585.381,1854.675,1761.757,2059.945,2304.566,2463.656,2555.927,2648.798,2419.438,2301.875,2316.143,2479.852,2540.86,2455.608,2746.799,2974.59,2994.577,3142.775,3383.827,3632.868,3903.836,4212.904
"Asia and Pacific",2360.713,2524.29,2455.854,2609.34,2767.635,2821.468,3597.414,4272.385,5098.928,5299.471,5527.477,6090.225,6672.347,7513.709,8143.61,9252.835,9032.076,8688.337,7860.138,8733.088,9350.074,8724.917,8960.169,10000.629,11283.48,12199.738,13062.237,14931.596,16895.279,17372.894,20290.797,23343.746,24798.919,25179.381,26101.574,25889.771,26951.989,28886.518,31001.703,31782.301,31870.172,36349.6,36556.926,38867.58,41469.826,44275.62,47230.219,50275.175,53607.45
"Australia and New Zealand",185.479,211.889,210.293,201.968,219.523,196.928,208.906,250.072,316.588,352.459,369.858,367.909,359.623,354.105,406.275,441.334,493.784,495.288,438.2,470.619,454.086,430.908,487.349,623.474,760.172,849.204,892.536,1084.406,1191.86,1122.501,1399.859,1682.015,1744.467,1706.163,1656.759,1409.314,1449.42,1585.182,1626.653,1596.086,1570.779,1895.702,1943.831,1959.517,1971.522,2047.82,2127.215,2216.275,2306.761
Caribbean,18.167,19.868,21.931,21.855,21.867,22.314,21.287,20.202,20.611,22.203,22.559,22.447,22.208,22.92,26.021,31.753,34.292,37.046,39.82,42.418,44.608,45.017,46.698,48.258,53.494,60.516,66.001,74.671,84.212,74.071,79.347,85.996,90.481,93.172,95.187,93.421,88.078,91.66,95.913,95.505,83.101,99.026,115.136,127.035,138.064,143.095,154.198,159.297,164.511
"Central America",35.06,35.059,35.6,37.393,44.59,38.658,38.096,37.762,36.064,40.79,37.208,46.116,52.125,56.877,62.148,69.247,74.07,80.813,87.502,88.669,94.03,99.289,104.707,102.597,109.741,131.591,144.141,164.073,184.771,184.664,205.556,230.724,248.756,263.77,281.268,301.142,317.761,336.327,349.426,362.165,333.717,380.69,425.405,464.009,494.83,526.369,559.721,595.31,633.32
"Central Asia and the Caucasus",96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,230.644,273.172,212.783,280.605,303.79,319.085,334.396,312.971,330.983,264.186,310.923,399.802,518.274,645.974,741.591,926.006,1070.853,925.951,1109.341,1257.267,1336.803,1457.113,1438.101,1289.124,1229.269,1237.449,1172.195,1169.68,1111.853,1253.377,1425.267,1596.515,1698.894,1807.722,1920.068,2035.869,2162.393
"East Asia",1570.123,1688.3,1605.341,1748.934,1854.365,1941.394,2661.913,3219.765,3932.72,4047.947,4122.74,4680.135,5164.748,5912.394,6416.901,7268.321,6847.586,6502.849,5955.332,6692.204,7253.835,6726.027,6750.836,7359.568,8153.114,8614.332,8991.802,9930.595,11373.93,11931.686,13616.575,15721.678,16860.509,17009.111,17744.739,17879.999,18605.031,19762.723,21592.202,22098.694,22587.462,25735.762,25138.335,26695.724,28465.039,30332.094,32293.73,34276.014,36465.144
"Eastern Europe ",160.124,169.825,183.443,185.514,177.958,176.996,183.502,186.925,218.547,212.447,162.917,148.275,289.859,452.964,598.081,769.721,889.826,936.546,816.529,703.897,766.066,867.372,980.34,1196.876,1524.825,1865.716,2262.318,2925.601,3656.302,2860.014,3234.256,3830.313,3887.493,4068.71,3829.296,2886.271,2830.556,3304.866,3608.559,3705.332,3488.667,4147.051,4524.55,4604.896,4832.091,5059.799,5267.412,5440.271,5590.926
Europe,4005.038,3605.343,3490.679,3401.131,3267.02,3382.501,4553.671,5594.139,6259.834,6359.876,7796.38,8265.992,9116.087,8472.557,9108.223,10533.651,10836.957,10290.113,10464.134,10365.034,9748.635,9912.128,10835.778,13155.997,15285.27,16191.101,17497.087,20401.794,22435.531,19703.313,20026.18,22043.195,21103.959,21987.963,22337.8,19186.445,19193.202,20415.816,22024.547,21743.988,21021.72,23881.086,23721.631,24881.193,25924.345,27011.804,28065.375,29015.995,29869.633
"Middle East (Region)",392.899,427.611,415.529,423.143,420.103,422.356,428.583,517.208,547.445,624.771,883.14,625.588,404.608,426.718,473.798,533.645,613.348,660.835,664.923,780.132,968.942,917.243,732.079,820.546,980.367,1196.688,1412.013,1678.849,2107.273,1866.354,2204.798,2646.706,2631.02,2745.471,2827.721,2460.192,2489.504,2678.711,2710.89,2708.939,2323.491,2813.268,3439.896,3382.345,3499.861,3646.107,3802.748,3968.756,4148.719
"North Africa",139.432,133.403,138.285,144.608,149.474,165.883,171.774,198.043,209.218,235.336,236.401,179.932,183.136,183.383,183.113,201.908,223.921,229.784,236.41,250.134,263.576,258.072,238.135,265.195,299.479,347.497,400.366,466.603,575.752,542.463,613.703,653.742,749.74,752.59,762.222,721.01,717.323,642.186,684.733,729.634,738.963,815.001,899.365,828.01,826.091,877.217,929.021,981.704,1038.146
"North America",3376.431,3823.836,3888.28,4166.879,4618.401,4942.861,5131.122,5477.326,5973.909,6483.171,6880.22,7151.065,7553.064,7975.327,8434.664,8648.434,9160.037,9781.163,10277.437,10967.657,11765.192,12147.255,12533.905,13157.218,14106.214,15174.096,16197.615,17085.367,17526.341,16850.992,17822.502,18673.891,19384.971,20066.714,20774.228,21037.779,21405.926,22388.974,23581.739,24498.811,23901.583,26695.927,29134.876,30728.275,31774.416,32966.596,34273.809,35639.76,37087.007
"Pacific Islands ",5.934,5.899,5.647,5.542,5.345,4.997,5.442,5.713,7.235,7.171,6.958,7.917,9.022,10.051,11.092,10.507,11.229,10.908,8.637,8.46,8.226,7.514,7.536,9.3,10.747,12.324,13.607,15.37,17.94,17.116,20.354,25.206,28.953,29.274,31.592,29.89,29.287,31.98,33.791,34.381,32.405,35.031,40.807,42.698,44.356,45.386,48.185,51.173,54.288
"South America",581.769,584.665,495.151,464.093,454.849,500.931,565.096,599.529,667.942,731.494,812.542,834.296,892.46,963.882,1147.306,1434.752,1539.914,1637.421,1616.836,1304.517,1379.088,1267.503,997.577,1074.783,1297.939,1657.152,2015.209,2506.449,3045.762,2935.245,3764.514,4404.548,4451.471,4431.269,4315.495,3522.706,3421.351,3872.562,3652.643,3480.323,2864.37,3299.804,3809.304,4067.968,4253.608,4423.782,4629.636,4865.55,5140.469
"South Asia",256.672,272.333,281.97,297.454,298.751,322.877,340.781,377.187,404.033,411.274,441.269,400.275,424.601,421.277,475.603,528.897,571.345,598.188,606.17,641.417,655.714,671.042,705.301,822.409,952.18,1086.71,1235.786,1558.495,1591.303,1745.065,2126.839,2311.266,2336.671,2400.84,2631.97,2757.28,2992.611,3414.847,3515.871,3639.166,3470.847,4047.895,4347.391,4628.346,5039.274,5473.827,5939.808,6445.877,6995.367
"Southeast Asia",245.909,248.004,263.685,270.473,307.009,262.444,278.035,300.722,313.32,332.892,379.143,425.586,483.709,542.711,620.955,723.172,804.342,762.019,517.404,607.417,647.23,625.241,698.224,786.076,888.992,991.194,1186.916,1416.725,1649.393,1630.575,2017.828,2346.314,2491.517,2576.88,2598.412,2524.164,2646.371,2854.336,3060.992,3244.294,3096.825,3381.834,3661.295,3944.78,4250.741,4568.771,4901.213,5249.966,5623.497
"Sub-Saharan Africa (Region) ",326.56,342.331,343.339,318.295,255.329,231.475,264.869,291.849,311.164,324.125,416.476,422.983,421.108,421.753,410.476,503.329,563.283,587.199,589.368,433.273,439.974,423.443,457.772,574.479,706.135,835.128,963.841,1118.779,1278.923,1219.294,1446.242,1650.823,1713.916,1803.337,1886.577,1698.428,1584.552,1673.957,1795.12,1811.226,1716.645,1931.799,2075.225,2166.567,2316.683,2506.61,2703.847,2922.132,3174.758
"Western Europe",3844.914,3435.518,3307.235,3215.617,3089.062,3205.505,4370.169,5407.214,6041.287,6147.429,7633.463,8117.716,8826.228,8019.594,8510.142,9763.93,9947.131,9353.567,9647.605,9661.137,8982.569,9044.756,9855.438,11959.121,13760.445,14325.385,15234.77,17476.193,18779.229,16843.299,16791.924,18212.883,17216.466,17919.253,18508.504,16300.173,16362.646,17110.951,18415.987,18038.656,17533.053,19734.034,19197.081,20276.297,21092.254,21952.005,22797.963,23575.725,24278.707
"Western Hemisphere (Region)",4011.427,4463.429,4440.963,4690.22,5139.706,5504.764,5755.601,6134.819,6698.527,7277.659,7752.528,8053.924,8519.857,9019.006,9670.139,10184.186,10808.314,11536.444,12021.595,12403.261,13282.918,13559.064,13682.887,14382.857,15567.387,17023.355,18422.967,19830.559,20841.085,20044.972,21871.919,23395.159,24175.679,24854.926,25466.178,24955.047,25233.116,26689.523,27679.721,28436.804,27182.771,30475.447,33484.72,35387.287,36660.918,38059.841,39617.364,41259.916,43025.307
ASEAN-5,208.639,229.269,239.197,233.223,242.907,234.883,228.952,241.508,278.672,318.986,363.361,406.564,460.862,515.309,588.397,682.591,758.554,713.871,467.853,553.827,587.507,564.381,633.662,712.28,798.212,885.483,1064.665,1272.943,1466.256,1441.247,1803.204,2079.735,2192.89,2256.563,2253.859,2177.688,2285.138,2463.014,2631.963,2782.318,2610.812,2884.173,3133.939,3369.484,3620.243,3878.648,4148.253,4430.685,4731.984
"Advanced economies",8479.606,8615.146,8554.679,8900.75,9308.859,9802.21,11970,13919.956,15726.931,16405.361,18416.218,19666.996,21156.842,21322.601,22895.932,25360.404,25538.353,25041.07,25132.372,26465.873,26923.495,26648.687,27801.726,31188.262,34600.427,36404.895,38277.589,41815.228,44180.539,41675.453,43526.516,46728.514,46555.614,46966.401,48043.213,45449.127,46671.191,48687.936,51537.607,52037.09,51000.154,56628.973,57582.432,60469.069,62642.799,65153.074,67753.068,70310.193,72991.719
"Emerging and Developing Asia",767.344,762.23,777.961,821.919,862.969,839.538,863.3,944.96,1054.549,1123.707,1128.886,1137.473,1287.374,1455.921,1520.249,1818.236,2059.513,2138.642,1980.689,2174.173,2332.624,2462.067,2698.369,3078.143,3570.072,4122.756,4891.392,6198.679,7457.181,8103.877,9767.546,11666.45,12862.239,14077.533,15209.399,15824.887,16274.642,17896.491,19733.731,20575.851,20828.243,24468.423,25324.225,27148.098,29322.414,31549.518,33922.843,36407.289,39042.192
"Emerging and Developing Europe",256.72,267.69,272.362,270.481,260.601,269.823,285.839,305.851,343.579,360.173,370.425,356.678,487.502,659.311,721.053,865.063,988.507,1049.598,932.536,803.787,892.324,912.068,1034.697,1275.437,1649.149,2050.884,2449.82,3143.138,3865.429,3020.949,3528.104,4136.997,4272.209,4512.681,4248.175,3294.24,3228.009,3647.109,3806.53,3878.536,3629.956,4301.444,4751.45,4871.887,5103.473,5340.465,5569.771,5767.267,5944.729
"Emerging market and developing economies",2756.463,2881.262,2729.969,2685.987,2690.41,2726.236,2801.912,3088.487,3398.183,3715.877,4196.185,3971.648,4160.302,4714.526,5093.428,5849.371,6539.764,6951.96,6704.528,6499.384,7133.354,7156.085,7115.749,8023.628,9536.636,11405.226,13500.456,16636.912,19980.217,19101.141,22961.435,27052.743,28671.881,30420.977,31406.748,29519.35,29556.757,32363.025,34429.219,35246.505,33894.769,39685.491,42635.966,45099.708,48121.079,51296.771,54672.706,58195.132,61958.764
"Euro area","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data",6115.221,6744.202,6129.911,6475.177,7642.165,7758.58,6965.739,7131.121,7141.614,6511.098,6607.591,7208.725,8879.084,10179.339,10556.611,11216.402,12925.145,14215.695,12980.706,12707.832,13698.036,12704.266,13255.93,13572.847,11727.433,12022.769,12731.16,13765.762,13481.145,13133.151,14648.169,14128.21,15070.802,15604.034,16204.5,16763.733,17246.232,17628.517
"European Union",3207.904,2835.338,2748.142,2686.86,2585.386,2663.527,3654.118,4478.265,4943.522,5032.152,6203.787,6616.828,7296.426,6669.143,7075.467,8281.499,8416.374,7728.316,7964.98,7925.966,7271,7383.088,8066.818,9915.495,11398.396,11900.672,12698.132,14717.224,16289.16,14746.768,14566.627,15762.897,14650.127,15295.068,15654.473,13553.864,13885.356,14760.671,15986.354,15693.93,15359.111,17193.799,16642.598,17818.782,18512.924,19282.982,19989.962,20612.934,21111.307
"Latin America and the Caribbean",863.601,933.203,765.76,697.056,726.165,779.291,774.992,822.551,926.543,1040.567,1162.71,1250.998,1370.526,1544.474,1763.286,1895.848,2059.25,2255.696,2270.68,2035.828,2225.635,2168.503,1921.092,1954.974,2243.416,2726.735,3200.735,3797.889,4424.732,4094.027,5107.218,5901.755,5991.802,6062.655,6007.306,5089.138,4905.684,5459.461,5320.388,5207.003,4371.703,5052.359,5763.945,6322.177,6619.448,6889.889,7203.973,7549.01,7941.478
"Major advanced economies (G7)",6901.185,7118.285,7086.462,7477.545,7869.084,8343.034,10095.969,11605.34,13053.285,13549.224,14987.281,16054.931,17237.742,17583.37,18796.53,20503.115,20467.12,20199.621,20469.36,21580.729,22095.493,21836.188,22513.988,24852.422,27298.307,28497.678,29715.525,31917.153,33475.125,31873.396,33106.875,35201.416,35364.524,35378.007,36229.604,34777.156,35754.184,36987.977,39042.45,39730.749,38881.548,42781.282,43779.881,45915.037,47504.743,49405.865,51406.688,53352.48,55430.066
"Middle East and Central Asia",551.333,582.337,575.296,584.721,593.337,611.656,620.312,735.241,771.898,884.157,1122.361,808.749,599.728,640.815,686.96,776.38,880.414,933.844,944.928,1065.781,1258.49,1208.278,1024.57,1164.882,1397.808,1708.836,2045.019,2443.386,3025.305,2723.957,3185.22,3771.687,3889.283,4027.038,4124.846,3685.796,3637.776,3744.501,3817.269,3818.606,3394.423,3979.468,4784.51,4652.566,4816.878,5069.712,5333.565,5613.44,5929.627
"Other advanced economies",775.275,790.861,785.665,784.098,821.926,819.464,999.433,1230.296,1450.501,1577.608,1817.339,1930.548,2059.896,2033.363,2283.41,2691.557,2870.196,2781.216,2510.234,2688.618,2777.611,2695.043,2930.935,3377.279,3858.132,4254.146,4608.187,5270.239,5569.649,5121.129,5896.378,6736.591,6790.069,7020.257,7150.125,6578.722,6711.968,7213.687,7590.744,7454.547,7404.601,8537.896,8545.95,8859.428,9185.869,9563.899,9951.113,10352.406,10783.151
"Sub-Saharan Africa",317.464,335.801,338.59,311.81,247.337,225.928,257.468,279.884,301.613,307.273,411.803,417.751,415.172,414.005,401.88,493.844,552.08,574.181,575.695,419.814,424.28,405.17,437.021,550.192,676.192,796.015,913.489,1053.821,1207.571,1158.332,1373.347,1575.854,1656.348,1741.07,1817.021,1625.288,1510.645,1615.463,1751.302,1766.509,1670.445,1883.797,2011.835,2104.979,2258.866,2447.187,2642.554,2858.126,3100.738
World,11236.068,11496.407,11284.648,11586.737,11999.268,12528.446,14771.911,17008.443,19125.114,20121.238,22612.403,23638.644,25317.144,26037.126,27989.36,31209.775,32078.117,31993.03,31836.9,32965.257,34056.849,33804.773,34917.475,39211.89,44137.064,47810.121,51778.045,58452.14,64160.756,60776.594,66487.951,73781.257,75227.496,77387.378,79449.961,74968.477,76227.947,81050.962,85966.827,87283.595,84894.923,96314.464,100218.398,105568.776,110763.878,116449.845,122425.775,128505.325,134950.483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Â©IMF, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
