"Data Source","World Development Indicators",
"Greece","GRC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3765000","3835000","3799000","4941000","4681000","4594000","5802000","6291000","7235000","7685000","7961000","7848000","",
"Grenada","GRD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333000","333000","331000","391000","485000","488000","580000","629000","658000","854000","982000","1055000","1168000","1277000","651000","694000","718000","721000","846000","992000","1130000","1195000","1328000","1538000","1703000","",
"Guam","GUM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","567655449.262111","602443308.611905","636543649.224321","631362124.420856","629989071.482411","619347911.209465","647616594.58182","674518010.011191","770879825.77264","795905507.979594","805957815.987424","773424777.944146","798935307.230265","810085577.5993","828713093.231671","846972974.711279","840431835.44969","879026566.11363","917424731.612515","970848667.752773","1005088273.60282","1030940500.48785","",
"Hong Kong SAR, China","HKG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47594000","53144000","58901000","61096000","64540000","60936000","68903000","72300000","75812000","80682000","81911000","81958000","84442000","84816000","85276000","84414000","84519000","89082000","91758000","91304000","92214000","94715000","",
"Honduras","HND","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090000","1092000","1072000","1055000","1065000","1150000","1121000","727000","703000","","",
"Heavily indebted poor countries (HIPC)","HPC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4393000","4823000","","5526000","5159000","5444000","4638000","4355000","2581000","2597000","2980000","3500000","",
"Haiti","HTI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13083000","12064000","12173000","12317000","10622000","11065000","11167000","12966000","14283000","17558000","17759000","16597000","17056000","17162000","16640000","16082000","16634000","16143000","16038000","16340000","17276000","18895000","20297000","22805000","24860000","",
"IBRD only","IBD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248603309.303858","253409828.93049","266613379.457409","272827739.332449","292751825.232694","321556010.893807","321456969.001334","318328668.878181","321062885.236829","345340140.74861","364525438.010345","375523616.111219","386028886.91252","401754754.435161","377254502.89741","402454428.227343","437846343.315365","472753411.827365","521163628.470828","516965391.262551","544543532.471157","570597854.632301","610115848.570965","614832050.967748","632522366.553452","",
"IDA & IBRD total","IBT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","309257527.012592","315248383.988484","332094851.21492","340409937.648298","366043604.884969","402391114.635601","401712068.602311","398089284.614389","402989634.566173","434104237.766237","459031159.936673","472752467.088422","487760738.015306","506351431.92364","478015584.415784","508832382.055862","555745474.83748","600563105.737483","664058628.601642","659239708.612861","694748698.362163","727811213.468322","778050407.986429","791734317.961085","811905478.667776","",
"IDA total","IDA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2205000","2505000","3231000","3478000","3941000","4106000","4967000","5158000","5486000","5053000","6235000","6750000","7454000","8025000","8074000","8176000","8340000","8856000","9468000","11688000","",
"IDA only","IDX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3056000","3464000","3726000","3811000","4115000","4416000","4564000","4940000","5351000","6213000","7185000","8340000","9783000","10868000","11067000","12988000","13994000","14920000","16626000","18330000","20376000","21872000","23943000","26296000","26915000","",
"Not classified","INX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2547000","2733000","3053000","3330000","3576000","3783000","4216000","4634000","4929000","5409000","6113000","6848000","7713000","7877000","7047000","6917000","6514000","6600000","6579000","6676000","7094000","7646000","8171000","8643000","9350000","",
"Iran, Islamic Rep.","IRN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7698000","6620000","9007000","10543000","7243000","","",
"Iraq","IRQ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166000","190000","203000","227000","257000","283000","","","","","364000","440000","460000","414000","259000","299000","341000","358000","365000","400000","450000","536000","619000","668000","611000","",
"Israel","ISR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2259000","2505000","2707000","2983000","3203000","3530000","3561000","3273000","3299000","3614000","3687000","3713000","4147000","4207000","4007000","4269000","4387000","4349000","4757000","5181000","5891000","6781000","7597000","8473000","9179000","",
"Italy","ITA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40196000","42431000","42390000","44628000","43611000","44660000","46357000","40400000","43407000","46369000","49166000","54421000","54839000","55304000","52617000","53338000","52633000","55169000","57418000","57480000","60042000","61194601.5625","62207000","",
"Jamaica","JAM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jordan","JOR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1128000","1141000","1233000","1347000","1561000","1625000","1755000","1276000","1229000","1420000","1523000","2139000","2094000","1972000","2054000","2708000","1931000","1567000","1498000","1230000","","1511000","1592000","1501000","1537000","",
"Japan","JPN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15298000","16695000","16803000","15806000","16358000","17819000","16216000","16523000","13296000","16831000","17404000","17535000","17295000","15987000","15446000","16637000","16994000","18491000","17473000","16903000","16214000","17116000","17889000","18954000","20080000","",
"Kazakhstan","KAZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3688000","4544000","4330000","5423000","6019000","8020000","9066000","10144000","10450000","11303000","9756000","10261000","10646000","10707000","",
"Kenya","KEN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kyrgyz Republic","KGZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2273000","2354000","1342000","3061000","3621000","3993000","3790000","4008000","4185000","4446000","6839000","5314000","",
"Cambodia","KHM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31000","38000","45000","41000","49000","41000","37000","45000","60000","239000","568000","787000","996000","786000","340000","505000","710000","792000","872000","956000","1194000","1434000","1752000","1995000","2038000","",
"Kiribati","KIR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3819000","4649000","4542000","3067000","4342000","5508000","6084000","7123000","7086000","8826000","10080000","11610000","13325000","11996000","9494000","12488000","12694000","13737000","14846000","16081000","19310000","22383000","26496000","28696000","28714000","",
"Kuwait","KWT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","878000","1051000","1097000","1264000","1209000","1236000","1666000","1725000","1774000","1928000","2173000","2529000","2649000","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119483745.02953","121393651.439849","126291742.850997","127721444.221007","136699095.724596","148618003.100075","144777454.152698","145690935.104376","145114689.056005","152429084.91998","153372623.526037","147512168.78094","136082674.97715","135442651.293575","124957804.293624","121288158.958675","121813425.067357","123908321.993962","131547808.725329","133902768.911222","143191036.14812","152326143.599904","154451336.07146","141794289.521888","135650396.391865","",
"Lao PDR","LAO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1686000","1788000","2052000","2857000","3320000","3067000","3059000","3049000","3207000","2690000","",
"Lebanon","LBN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","484000","493000","650000","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123421394.058992","125259787.555047","130255759.068422","132124740.601783","141216844.505365","153509289.498855","149368623.658891","150224710.689095","149676552.922306","157393347.619307","159072410.563366","153555485.471557","142586405.323752","142257768.448991","131442150.407725","128069101.20994","129800154.384714","132383861.948966","140922727.741838","143176254.317139","152475917.279532","161326111.995433","163170603.269356","150743883.692498","144237150.146178","",
"Least developed countries: UN classification","LDC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","504000","494000","531000","518000","497000","524000","505000","533000","561000","680000","727000","757000","862000","966000","963000","1122000","1239000","1269000","1262000","1311000","1356000","1448000","1439000","1476000","1441000","",
"Lower middle income","LMC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87319026.4471482","86803837.698372","85390703.2538383","90757728.5053682","101670144.44178","110582521.237521","122100111.11697","124142540.880633","132262164.353153","144176587.827796","155828020.971292","166310504.402453","172203938.670384","",
"Low & middle income","LMY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257972359.573946","252459091.086435","263977583.081601","270794603.390379","288299047.93001","322474362.81709","327029128.557658","334171929.164459","347617266.772333","380442780.07548","399452668.167105","407300441.446272","417606010.687024","432168153.448685","417749562.280678","448449323.82439","486447506.427457","524606815.492194","581427241.820355","601543572.878533","625867736.297142","662372267.653437","710641900.079365","720773466.442269","738017510.646078","",
"Lesotho","LSO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101419542.33728","104477830.270702","111629729.496316","116228580.700148","123988966.30955","137883028.692747","141458819.886796","134483833.368903","136994938.451553","148763314.994449","165706335.351559","181187456.545453","206388068.206352","223951463.105039","207135764.338009","229873413.133351","258667720.999149","287320325.973287","319353415.455815","315858060.863354","329660116.653538","340219982.910912","371666562.672275","393163875.572922","409178637.306052","",
"Lithuania","LTU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4362000","3627000","3847000","3639000","4311000","4020000","4108000","4228000","4292000","3981000","4143000","4294000","4702000","4881000","",
"Luxembourg","LUX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694000","757000","809000","950000","923000","1049000","1021000","1100000","1185000","1084000","1132000","1190000","1362000","1237000","1643000","1580000","1624000","1815000","1702000","1588000","1802000","1989000","2548000","",
"Latvia","LVA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1812000","1798000","1877000","1961000","2256000","2596000","2697000","2306000","2286000","2457000","2959000","3151000","3398000","3782000","3268000","3332000","3257000","1830000","1776000","1846000","1720000","1939000","2055000","2175000","2384000","",
"Macao SAR, China","MAC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","629000","645000","599000","606000","671000","753000","908000","1291000","1446000","1537000","1466000","1251000","1391000","1780000","1765000","",
"St. Martin (French part)","MAF","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1317000","1212000","1203000","1275000","1545000","1508000","1701000","1533000","1612000","1603000","2247000","2135000","2669000","3421000","2293000","2175000","2378000","2323000","2195000","1850000","1910000","1864000","1849000","1923000","2009000","",
"Monaco","MCO","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93300.0030517578","117199.996948242","136100.006103516","146800.003051758","157600.006103516","180600.006103516","189800.003051758","177000","229000","264000","311000","",
"Madagascar","MDG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39000","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32000","32000","33000","37000","42000","42000","41000","43000","44000","61000","77000","74000","102000","123000","","","","","","","","","","","","",
"Middle East & North Africa","MEA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103161000","103442000","107242000","107927000","117383000","127268000","123732000","124633000","123015000","128903000","128392000","122022000","109540000","107519000","98228000","91658000","88113000","87332000","90787000","90982000","94988000","97372000","94274000","86280000","82752000","",
"Marshall Islands","MHL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236494323.982857","231211280.895336","241355021.953486","247397228.696672","262732710.020204","293493660.304752","298158288.657106","304961917.160065","316547770.151124","346473143.855467","363757609.694801","371774802.452651","381092878.334536","393159027.017507","379873568.679035","407006627.175015","441410657.363468","475952330.315567","527569577.961133","545820194.153421","567946670.920388","600961346.026326","644737660.48774","653907708.685641","669506811.405204","",
"North Macedonia","MKD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mali","MLI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292000","292000","328000","348000","368000","404000","430000","456000","550000","633000","728000","774000","",
"Myanmar","MMR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritius","MUS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107000","120000","132000","143000","154000","163000","161000","162000","161000","180000","183000","186000","213000","226000","196000","212000","219000","237000","228000","223000","242000","260000","283000","296000","320000","",
"Malawi","MWI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malaysia","MYS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20642000","23333000","26165000","25631000","26067000","30532000","36248000","29866000","32201000","30761000","","","","","","","","","","","","","","","","",
"North America","NAC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97469114.4688058","101118725.919516","103327978.449924","108959070.865035","111305249.654778","115825132.811447","111588318.363978","106505427.415","99924089.173072","104905769.208404","104333993.267673","195430387.686843","190430547.917603","187920636.346794","177468654.284234","175227229.231393","176031381.726924","181538426.055771","184783041.348684","185471171.842372","186370342.356653","194541891.9692","203049505.311222","195979164.526511","","",
"Namibia","NAM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Caledonia","NCL","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59000","64000","63000","68000","69000","69000","68000","72000","78000","89000","96000","100000","106000","112000","119000","132000","124000","121000","121000","124000","127000","134000","135000","139000","","",
"Niger","NER","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10000","10000","10000","10000","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255000","282000","330000","422000","452000","486000","499000","532000","562000","701000","740000","773000","949000","942000","858000","908000","912000","979000","994000","959000","925000","981000","982000","974000","949000","",
"Netherlands","NLD","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12313000","12807000","12858000","13553000","14184000","13896000","14214000","16719000","16425000","17130000","17039000","16695000","17523000","18399000","18340000","18368000","18560000","18628000","18094000","17928000","17535000","18152000","20771000","20871000","","",
